Issue Type,Summary,Description,Status,Priority,Labels,Assignee,Created,Updated,Issue Key
Story,"Remove space between main navigation tabs and content","## Problem There's unnecessary whitespace/margin between the main navigation tabs and the page content, which reduces the available screen real estate and creates visual separation that impacts the user experience. ## Proposed Solution Reduce or eliminate the gap between the navigation tabs and the main content area to: 1. Maximize content viewing area 2. Create a more cohesive visual flow 3. Improve space utilization, especially on smaller screens ## Acceptance Criteria - [ ] Minimal or no gap between navigation tabs and content - [ ] Navigation remains clearly distinguishable from content - [ ] Responsive design maintained across all screen sizes - [ ] No visual regressions on other components - [ ] Accessibility and touch targets preserved ## Technical Notes - Check layout components and CSS margins/padding - Verify Material UI tab component spacing configuration - Test across different pages (Library, Admin, etc.) - Ensure proper visual hierarchy is maintained",Done,Low,"",,2025-08-12,2025-08-13,GH-264
Story,"Make site default to dark mode","## Problem Currently the site defaults to light mode, but dark mode is generally preferred by developers and provides better user experience especially during evening/night usage. ## Proposed Solution Update the theme initialization to default to dark mode instead of light mode. This should: 1. Set dark mode as the default theme on first visit 2. Maintain user's theme preference if they've previously selected light mode 3. Ensure proper contrast and accessibility in dark mode ## Acceptance Criteria - [ ] Site loads in dark mode by default for new users - [ ] Existing user preferences are preserved - [ ] All components render correctly in dark mode - [ ] Accessibility standards maintained - [ ] Theme toggle continues to work properly ## Technical Notes - Check theme initialization in the app layout or theme provider - Verify Material UI dark theme configuration - Test with both new and returning users",Done,Medium,"",,2025-08-12,2025-08-13,GH-263
Epic,"Implement collections feature for organizing books","## Problem Users currently have no way to organize their books beyond basic search and filtering. Large personal libraries would benefit from custom groupings like \""To Read\"", \""Favorites\"", \""Academic\"", \""Fiction\"", etc. ## Solution Implement a collections system that allows users to: - Create custom named collections - Add/remove books from multiple collections - View books filtered by collection - Manage collections (rename, delete, reorder) ## User Stories - As a user, I want to create collections like \""Summer Reading\"" or \""Reference Books\"" - As a user, I want to add the same book to multiple collections - As a user, I want to quickly filter my library by collection - As a user, I want to see how many books are in each collection - As a user, I want to organize my collections by importance or frequency of use ## Implementation Details ### Database Schema ```sql -- Collections table CREATE TABLE collections ( id TEXT PRIMARY KEY, user_id TEXT NOT NULL, name TEXT NOT NULL, description TEXT, color TEXT, -- Optional hex color for visual distinction created_at DATETIME DEFAULT CURRENT_TIMESTAMP, updated_at DATETIME DEFAULT CURRENT_TIMESTAMP, sort_order INTEGER DEFAULT 0, FOREIGN KEY (user_id) REFERENCES users (id) ); -- Many-to-many relationship between books and collections CREATE TABLE book_collections ( book_id TEXT NOT NULL, collection_id TEXT NOT NULL, added_at DATETIME DEFAULT CURRENT_TIMESTAMP, PRIMARY KEY (book_id, collection_id), FOREIGN KEY (book_id) REFERENCES books (id) ON DELETE CASCADE, FOREIGN KEY (collection_id) REFERENCES collections (id) ON DELETE CASCADE ); -- Indexes for performance CREATE INDEX idx_collections_user_id ON collections(user_id); CREATE INDEX idx_book_collections_book_id ON book_collections(book_id); CREATE INDEX idx_book_collections_collection_id ON book_collections(collection_id); ``` ### API Endpoints - `GET /api/collections` - List user's collections with book counts - `POST /api/collections` - Create new collection - `PUT /api/collections/:id` - Update collection (name, description, color) - `DELETE /api/collections/:id` - Delete collection - `POST /api/collections/:id/books` - Add book(s) to collection - `DELETE /api/collections/:id/books/:bookId` - Remove book from collection - `GET /api/collections/:id/books` - Get books in collection ### UI Components - **Collections Sidebar/Panel**: Show all collections with book counts - **Collection Management Modal**: Create/edit collections - **Book Collection Tags**: Show which collections a book belongs to - **Collection Filter**: Filter main library view by collection - **Bulk Collection Actions**: Add multiple selected books to collection(s) - **Collection Detail View**: Dedicated page showing all books in a collection ### User Experience - Default collections could include \""All Books\"", \""Favorites\"", \""To Read\"" - Drag-and-drop interface for adding books to collections - Quick-add collection buttons in book details/edit modals - Visual indicators (colors, icons) to distinguish collections - Search within collections - Collection-specific sorting options ## Technical Considerations - **Performance**: Efficient queries when filtering by collection - **Data Integrity**: Handle collection deletion gracefully - **Bulk Operations**: Support adding multiple books simultaneously - **Export/Import**: Include collections in data export/backup - **Responsive Design**: Collections interface must work on mobile - **State Management**: Update collection state across components ## Future Enhancements - Smart collections based on rules (e.g., all books by author X) - Collection sharing between users - Collection templates (\""Book Club Picks\"", \""Academic Research\"") - Collection statistics and insights - Nested/hierarchical collections ## Acceptance Criteria - [ ] Users can create, edit, and delete collections - [ ] Books can be added to and removed from multiple collections - [ ] Collections appear in sidebar/navigation with book counts - [ ] Main library can be filtered by collection - [ ] Collection management UI is intuitive and responsive - [ ] Database migration handles existing user data safely - [ ] API endpoints support all CRUD operations - [ ] Performance remains good with large numbers of collections/books - [ ] Collections persist across user sessions ## Priority High - Core feature that significantly improves library organization ## Dependencies - Requires database migration - Should be implemented before site tour (#260) to include in onboarding ## Labels enhancement, database, new-feature, core-functionality",To Do,High,"",,2025-08-12,2025-08-12,GH-261
Epic,"Implement interactive site tour for new users","## Problem New users may find the LibraryCard interface overwhelming or miss key functionality. Currently there's no onboarding experience to guide users through the main features and workflows. ## Solution Implement an interactive site tour that: - Automatically launches for first-time users - Highlights key UI elements with spotlight effect - Uses speech bubble dialogs to explain functionality - Provides step-by-step guidance through main features - Can be dismissed/completed and won't show again - Can be re-launched from settings menu ## Implementation Details ### Tour Flow 1. **Welcome** - Brief introduction to LibraryCard 2. **Add Books** - Highlight the ""Add Book"" button and scanning functionality 3. **Search & Filters** - Show search bar and filter options 4. **Book Details** - Demonstrate clicking on a book to view details 5. **Collections** - Explain organizing books into collections 6. **Profile & Settings** - Show user menu and settings access ### Technical Requirements - **Overlay System**: Dark overlay (backdrop) that dims the rest of the screen - **Spotlight Effect**: Highlighted areas with proper z-index management - **Speech Bubbles**: Positioned tooltips/dialogs with: - Clear explanatory text - ""Next"" button to continue - ""Skip Tour"" button to dismiss - Progress indicator (Step X of Y) - **Cookie Management**: - Set `tour-completed=true` cookie when tour finishes or is dismissed - Check cookie on app load to determine if tour should show - **Settings Integration**: Add ""Take Tour Again"" option in settings menu - **Responsive Design**: Tour must work on mobile and desktop ### User Experience - Tour launches automatically for new users (no tour-completed cookie) - Each step focuses on one key feature - Clear visual hierarchy with dimmed background - Easy escape mechanism (ESC key, click outside, skip button) - Smooth transitions between steps - Non-intrusive for returning users ### Technical Considerations - **React Portal**: Use portal for overlay to avoid z-index conflicts - **Accessibility**: Proper ARIA labels and keyboard navigation - **State Management**: Track current tour step and progress - **Event Handling**: Manage clicks, keyboard events, and tour progression - **Cookie Library**: Use existing cookie management or add lightweight solution - **Performance**: Lazy load tour components to avoid affecting initial bundle size ## Acceptance Criteria - [ ] Tour automatically shows for first-time users - [ ] Overlay properly dims background with spotlight on highlighted elements - [ ] Speech bubbles positioned correctly with clear explanations - [ ] Navigation works (Next, Skip, keyboard controls) - [ ] Cookie prevents tour from showing again after completion/dismissal - [ ] ""Take Tour Again"" option available in settings menu - [ ] Responsive design works on mobile and desktop - [ ] Accessible with proper ARIA labels and keyboard navigation - [ ] Smooth animations and transitions - [ ] No impact on app performance when tour is not active ## Potential Libraries Consider lightweight tour libraries like: - `react-joyride` - Popular React tour library - `intro.js` - Vanilla JS option - Custom implementation using existing Material UI components ## Priority Medium - Improves new user onboarding and feature discovery ## Labels enhancement, ux, onboarding, new-feature",To Do,High,"",,2025-08-12,2025-08-12,GH-260
Epic,"Replace cloud-hosted Google Fonts with locally hosted fonts","## Problem Currently using cloud-hosted Google Fonts which creates: - External dependency on Google's CDN - Potential privacy concerns with third-party requests - Additional DNS lookups and network requests - Possible performance impact from external font loading ## Solution Replace Google Fonts CDN with locally hosted font files to: - Improve performance by eliminating external requests - Enhance privacy by removing third-party dependencies - Reduce reliance on external services - Potentially improve Core Web Vitals scores ## Implementation 1. Identify currently used Google Fonts in the application 2. Download the required font files (woff2, woff formats) 3. Add fonts to `/public/fonts/` directory 4. Update CSS to reference local font files instead of Google Fonts CDN 5. Update any `@import` or `<link>` tags that reference fonts.googleapis.com 6. Test font loading across different browsers and devices 7. Verify Core Web Vitals metrics maintain or improve ## Acceptance Criteria - [ ] All Google Fonts CDN references removed - [ ] Font files served locally from `/public/fonts/` - [ ] No visual changes to typography - [ ] Performance metrics maintained or improved - [ ] Cross-browser compatibility verified ## Labels enhancement, performance, privacy",To Do,Medium,"",,2025-08-12,2025-08-12,GH-259
Epic,"Transform LibraryCard Visual Design: Modern Color System & Component Enhancements","## 🎨 Transform LibraryCard from Monochromatic to Vibrant **Current State**: LibraryCard has excellent functionality but feels ""monochromatic and dull"" **Goal**: Create a vibrant, modern, engaging visual experience while maintaining professional functionality ## 📋 Implementation Phases ### Phase 1: Enhanced Color System - [x] Modern blue-to-purple gradient primary colors - [x] Vibrant accent colors for different book categories (green, orange, teal, etc.) - [x] Improved surface colors with warmer tones - [x] Enhanced semantic status colors with better contrast ### Phase 2: Typography System - [x] Google Fonts integration (Inter/Nunito) - [x] Improved type scale and hierarchy - [x] Better contrast ratios and readability - [x] Custom font weights and line heights ### Phase 3: Component Visual Overhauls - [ ] **Cards**: Enhanced shadows, borders, hover effects - [ ] **Buttons**: Gradient backgrounds, modern hover states, rounded corners - [ ] **Forms**: Floating labels, better input styling, focus states - [ ] **Navigation**: Modern tab design with active states and transitions ### Phase 4: Book-Specific Enhancements - [ ] Enhanced book cover presentation with 3D hover effects - [ ] Genre-based color coding system - [ ] Improved rating system with animations - [ ] Better book grid/list styling ### Phase 5: Interactive Enhancements - [ ] Smooth hover effects and transitions - [ ] Modern skeleton loading states - [ ] Subtle animations for modals and content changes - [ ] Micro-interactions for user feedback ## 🎯 Success Criteria ### Visual Impact - Transform appearance from ""monochromatic and dull"" to vibrant and engaging - Maintain professional functionality and accessibility standards - Preserve excellent performance (no impact on Core Web Vitals) ### Technical Requirements - Full backward compatibility with existing functionality - WCAG 2.1 AA accessibility compliance maintained - Seamless light/dark mode support - Mobile-responsive enhancements ## 📚 Resources - **Full Specification**: [`docs/specs/visual-enhancement-plan.md`](../blob/main/docs/specs/visual-enhancement-plan.md) - **Design System**: Comprehensive color palettes, typography scales, and component specifications - **Implementation Guide**: Phase-by-phase rollout strategy with testing requirements ## 🚀 Expected Timeline - **Week 1**: Color system and typography implementation - **Week 2**: Component styling overhauls and book-specific enhancements - **Week 3**: Interactive enhancements, testing, and refinement ## 💡 Key Benefits 1. **Enhanced User Experience**: More engaging and visually appealing interface 2. **Professional Appearance**: Modern design that reflects the quality of the underlying functionality 3. **Better Content Differentiation**: Color-coded categories and improved visual hierarchy 4. **Increased User Engagement**: More inviting interface encourages longer usage sessions --- This enhancement will transform LibraryCard into a visually stunning personal library management platform while preserving all existing functionality and performance optimizations.",To Do,Medium,"",,2025-08-12,2025-08-18,GH-258
Story,"admins and superadmins should be able to delete or reject book reviews. ","Maybe have them submit to admin notfications? Star reviews can take effect immediately but let's set up a review process for written reviews.",Done,Medium,"",,2025-08-11,2025-08-12,GH-256
Story,"Reviews on individual books (in 'more details') modal are not constrained to that book","",Done,Medium,"",,2025-08-11,2025-08-12,GH-252
Story,"Admin Dashboad: get rid of the ""Overview"" tab and content.","",Done,Medium,"",,2025-08-11,2025-08-13,GH-251
Story,"More details sources","Include in the ""more details"" modal whether this book came from OpenLibrary or GoogleBooks. Or does data in there come from both I feel like I used ot see categories adn genres from both but now only see (mostly) openbooks categories",Done,Medium,"",,2025-08-11,2025-08-11,GH-248
Story,"Search library throws error","I can click into the search field, but as soon as I type a letter this error is thrown: Unhandled Runtime Error TypeError: Cannot read properties of undefined (reading 'includes') Source src/hooks/useBookFilters.ts (236:23) @ includes 234 | return (book: EnhancedBook) => { 235 | // Early return optimizations > 236 | if (book.isbn.includes(searchTerm)) return true | ^ 237 | 238 | const titleLower = book.title.toLowerCase() 239 | if (titleLower.includes(searchLower)) return true Call Stack Show collapsed frames",Done,Low,"",,2025-08-11,2025-08-11,GH-247
Epic,"Investigate genre handling from external APIs - auto-assignment vs suggestions","**Parent Issue:** #233 ## Problem User is unclear about how genres from Google Books and OpenLibrary are handled - whether they're automatically added or presented as suggestions, and which source takes precedence. ## Current Implementation Analysis Based on code review: - Genres are **automatically classified** via `genreClassifier.ts` - Both Google Books categories AND OpenLibrary subjects are processed - Raw external genres are mapped to curated, user-friendly categories - Classification happens during book data fetching, not as user suggestions ## Potential Issues to Investigate 1. **User Experience**: Users may expect to see/approve genre suggestions rather than automatic assignment 2. **Genre Quality**: Auto-classification might miss nuances or assign incorrect genres 3. **Transparency**: Users don't see what external genres were considered 4. **Override Capability**: Limited user control over auto-assigned genres ## Investigation Tasks - [ ] Test genre classification accuracy with sample books - [ ] Evaluate if users want genre suggestion workflow vs auto-assignment - [ ] Check if external genre data is preserved for user reference - [ ] Consider hybrid approach: auto-assign + allow manual review/override - [ ] Review genre classification rules in `genreClassifier.ts` ## Code Locations - `src/lib/bookApi.ts` lines 111-119 (genre classification trigger) - `src/lib/genreClassifier.ts` (classification logic) - `src/components/book/GenreSelector.tsx` (user genre interface) ## Priority Medium - affects content organization and user control",To Do,Low,"",,2025-08-11,2025-08-11,GH-246
Story,"Investigate consolidating to enhanced search only","**Parent Issue:** #233 ## Background Currently we have two search modes: - **Enhanced search**: Searches both Google Books AND OpenLibrary via worker API - **Non-enhanced search**: Only searches Google Books API directly ## Investigation Needed Research whether we should consolidate to using enhanced search for all searches by default, removing the toggle. ## Benefits of Enhanced Search - More comprehensive results from multiple sources - Consistent API pathway through our worker - Better genre classification from combined data sources - Unified codebase maintenance ## Potential Concerns - Performance implications of always hitting multiple APIs - Rate limiting considerations - Error handling complexity ## Tasks - [ ] Performance testing: Compare response times between modes - [ ] Analyze search result quality differences - [ ] Review API rate limits and costs - [ ] Test error handling scenarios - [ ] Consider user preference vs. system optimization ## Code Location - `src/components/book/BookSearch.tsx` lines 178-299 (search mode handling) ## Priority Medium - UX improvement and code simplification",Done,Medium,"",,2025-08-11,2025-08-15,GH-245
Story,"Shelf selection only shows shelves from one location despite multi-location access","**Parent Issue:** #233 ## Problem User reports that when adding a new book as an admin with access to three locations (home, office, and community library), the shelf selector only shows shelves from one location (community library) instead of all accessible shelves. ## Expected Behavior Shelf selector should show shelves from all locations the user has `can_add_books` permission for. ## Investigation Needed - Check if `allowedLocationIds` filtering in AddBooks.tsx:866 is working correctly - Verify `checkAddBooksPermission()` function (lines 331-407) is calculating permissions properly for all locations - Test with multi-location admin user to reproduce the issue ## Code Location - `src/components/book/AddBooks.tsx` lines 866, 331-407 - `src/components/library/ShelfSelector.tsx` for shelf rendering logic ## Priority High - affects core book management functionality for multi-location admins",Done,High,"",,2025-08-11,2025-08-11,GH-244
Story,"Multiple genre filtering","I've tagged many books with both ""Fantasy"" and ""Young Adult"" and they correctly appear when I filter to those two genres. But I'm also seeing other books that I've not assigned either of those genres to.",Done,Medium,"",,2025-08-10,2025-08-11,GH-243
